address;altitude;callsign;date;destination_iata;destination_icao;equipment;event;flight;flight_id;latitude;longitude;operator;origin_iata;origin_icao;registration;time
7C806A;0;QFA9;2022-10-04;LHR;EGLL;B789;gate_arrival;QF9;766686043;51.46588;-0.46848;QFA;PER;YPPH;VH-ZNG;03:54:23
06A14B;39725;QTR9L;2022-10-04;DOH;OTHH;A388;descent;QR909;766686224;24.45694;54.21656;QTR;SYD;YSSY;A7-APJ;01:04:18
06A14B;0;QTR9L;2022-10-04;DOH;OTHH;A388;landed;QR909;766686224;25.27786;51.59555;QTR;SYD;YSSY;A7-APJ;01:32:17
06A14B;0;QTR9L;2022-10-04;DOH;OTHH;A388;gate_arrival;QR909;766686224;25.28112;51.59536;QTR;SYD;YSSY;A7-APJ;01:32:44
7C806E;38800;QFA10;2022-10-04;PER;YPPH;B789;descent;QF10;766687389;-30.91334;113.12611;QFA;LHR;EGLL;VH-ZNK;03:02:33
7C806E;0;QFA10;2022-10-04;PER;YPPH;B789;landed;QF10;766687389;-31.93691;115.96605;QFA;LHR;EGLL;VH-ZNK;03:37:46
7C806E;0;QFA10;2022-10-04;PER;YPPH;B789;gate_arrival;QF10;766687389;-31.93489;115.96519;QFA;LHR;EGLL;VH-ZNK;03:38:13
8964B4;39050;UAE7DK;2022-10-04;DXB;OMDB;A388;descent;EK407;766687707;23.93802;57.34024;UAE;MEL;YMML;A6-EVF;00:19:58
8964B4;0;UAE7DK;2022-10-04;DXB;OMDB;A388;landed;EK407;766687707;25.25036;55.37532;UAE;MEL;YMML;A6-EVF;00:49:23
8964B4;0;UAE7DK;2022-10-04;DXB;OMDB;A388;gate_arrival;EK407;766687707;25.24712;55.37839;UAE;MEL;YMML;A6-EVF;00:49:52
4BB0E5;0;THY193;2022-10-04;GRU;SBGR;A359;landed;TK193;766687982;-23.43461;-46.47147;THY;IST;LTFM;TC-LGE;00:16:34
4BB0E5;0;THY193;2022-10-04;GRU;SBGR;A359;gate_arrival;TK193;766687982;-23.43186;-46.46739;THY;IST;LTFM;TC-LGE;00:16:45
8990E6;27775;EVA032;2022-10-04;JFK;KJFK;B77W;descent;BR32;766688223;41.88691;-74.42541;EVA;TPE;RCTP;B-16725;01:39:44
8990E6;0;EVA032;2022-10-04;JFK;KJFK;B77W;landed;BR32;766688223;40.63918;-73.75961;EVA;TPE;RCTP;B-16725;02:17:11
8990E6;0;EVA032;2022-10-04;JFK;KJFK;B77W;gate_arrival;BR32;766688223;40.64404;-73.75804;EVA;TPE;RCTP;B-16725;02:17:54
4BA955;0;THY33;2022-10-04;IAH;KIAH;B77W;landed;TK33;766691948;30.00719;-95.33685;THY;IST;LTFM;TC-JJU;00:14:07
4BA955;0;THY33;2022-10-04;IAH;KIAH;B77W;gate_arrival;TK33;766691948;29.99609;-95.32539;THY;IST;LTFM;TC-JJU;00:15:17
