address;altitude;callsign;date;destination_iata;destination_icao;equipment;event;flight;flight_id;latitude;longitude;operator;origin_iata;origin_icao;registration;time
75044A;37900;MAS3;2022-10-03;KUL;WMKK;A359;descent;MH3;766493522;5.29404;100.71451;MAS;LHR;EGLL;9M-MAC;00:04:21
75044A;300;MAS3;2022-10-03;KUL;WMKK;A359;landed;MH3;766493522;2.70909;101.72088;MAS;LHR;EGLL;9M-MAC;00:42:13
76CD41;38900;SIA36;2022-10-03;LAX;KLAX;A359;descent;SQ36;766493913;35.39108;-119.94066;SIA;SIN;WSSS;9V-SJA;01:54:11
76CD41;0;SIA36;2022-10-03;LAX;KLAX;A359;landed;SQ36;766493913;33.94994;-118.42307;SIA;SIN;WSSS;9V-SJA;02:19:52
76CD41;0;SIA36;2022-10-03;LAX;KLAX;A359;gate_arrival;SQ36;766493913;33.94807;-118.42732;SIA;SIN;WSSS;9V-SJA;02:20:02
A046B6;34875;FDX57;2022-10-03;BQN;TJBQ;B763;descent;FX57;766493959;19.73465;-68.74587;FDX;MEM;KMEM;N117FE;01:10:25
A046B6;0;FDX57;2022-10-03;BQN;TJBQ;B763;landed;FX57;766493959;18.49891;-67.11629;FDX;MEM;KMEM;N117FE;01:34:00
A046B6;0;FDX57;2022-10-03;BQN;TJBQ;B763;gate_arrival;FX57;766493959;18.49365;-67.12693;FDX;MEM;KMEM;N117FE;01:37:29
896481;39825;UAE12JQ;2022-10-03;DXB;OMDB;A388;descent;EK431;766494224;23.94447;57.33133;UAE;BNE;YBBN;A6-EUW;00:25:25
896481;0;UAE12JQ;2022-10-03;DXB;OMDB;A388;landed;EK431;766494224;25.25377;55.36963;UAE;BNE;YBBN;A6-EUW;01:08:06
896481;0;UAE12JQ;2022-10-03;DXB;OMDB;A388;gate_arrival;EK431;766494224;25.25233;55.37077;UAE;BNE;YBBN;A6-EUW;01:08:17
06A145;39875;QTR9L;2022-10-03;DOH;OTHH;A388;descent;QR909;766494360;24.42357;54.36447;QTR;SYD;YSSY;A7-APD;00:59:20
06A145;0;QTR9L;2022-10-03;DOH;OTHH;A388;landed;QR909;766494360;25.27802;51.59548;QTR;SYD;YSSY;A7-APD;01:28:28
06A145;0;QTR9L;2022-10-03;DOH;OTHH;A388;gate_arrival;QR909;766494360;25.28102;51.59531;QTR;SYD;YSSY;A7-APD;01:28:50
4BA94E;0;THY9;2022-10-03;LAX;KLAX;B77W;landed;TK9;766494881;33.95032;-118.41765;THY;IST;LTFM;TC-JJN;00:09:53
4BA94E;0;THY9;2022-10-03;LAX;KLAX;B77W;gate_arrival;TK9;766494881;33.94831;-118.42103;THY;IST;LTFM;TC-JJN;00:10:10
4D20D0;41100;VJT884;2022-10-03;LAX;KLAX;GLEX;descent;VJT884;766495016;35.30026;-115.35004;VJT;BCN;LEBL;9H-VJH;00:26:39
4D20D0;0;VJT884;2022-10-03;LAX;KLAX;GLEX;landed;VJT884;766495016;33.93587;-118.39709;VJT;BCN;LEBL;9H-VJH;00:58:47
4D20D0;0;VJT884;2022-10-03;LAX;KLAX;GLEX;gate_arrival;VJT884;766495016;33.93510;-118.40152;VJT;BCN;LEBL;9H-VJH;00:59:03
899031;33775;EVA032;2022-10-03;JFK;KJFK;B77W;descent;BR32;766496152;42.33064;-73.80497;EVA;TPE;RCTP;B-16728;01:10:11
899031;0;EVA032;2022-10-03;JFK;KJFK;B77W;landed;BR32;766496152;40.63676;-73.76154;EVA;TPE;RCTP;B-16728;01:52:00
899031;0;EVA032;2022-10-03;JFK;KJFK;B77W;gate_arrival;BR32;766496152;40.64211;-73.76512;EVA;TPE;RCTP;B-16728;01:53:24
8964B6;39875;UAE7DK;2022-10-03;DXB;OMDB;A388;descent;EK407;766496464;23.90239;57.39025;UAE;MEL;YMML;A6-EVH;00:20:18
8964B6;0;UAE7DK;2022-10-03;DXB;OMDB;A388;landed;EK407;766496464;25.25133;55.37432;UAE;MEL;YMML;A6-EVH;01:02:57
8964B6;0;UAE7DK;2022-10-03;DXB;OMDB;A388;gate_arrival;EK407;766496464;25.24802;55.37703;UAE;MEL;YMML;A6-EVH;01:03:21
789215;38250;CPA826;2022-10-03;YYZ;CYYZ;A35K;descent;CX826;766496529;45.73384;-80.95055;CPA;HKG;VHHH;B-LXC;01:27:42
789215;0;CPA826;2022-10-03;YYZ;CYYZ;A35K;landed;CX826;766496529;43.68665;-79.64577;CPA;HKG;VHHH;B-LXC;02:00:19
789215;0;CPA826;2022-10-03;YYZ;CYYZ;A35K;gate_arrival;CX826;766496529;43.68091;-79.62394;CPA;HKG;VHHH;B-LXC;02:01:14
76CD42;35300;SIA34;2022-10-03;SFO;KSFO;A359;descent;SQ34;766496724;39.02106;-123.79018;SIA;SIN;WSSS;9V-SJB;01:46:05
